,Unnamed: 0,Article,Sentence,Sentence Position,Sentence Length,Numeric Data,Thematic Words,Entropy,POS tags,TF-ISF,Aggregate Score,Busy Path,Title,Label
1012,1012,A64,S4,0.27,0.61,0.0,0.21,0.2,0.27,0.17,0.78,1.0,0.25,0.888
1013,1013,A64,S5,0.09,0.8,0.0,0.33,0.39,0.32,0.39,0.94,0.67,0.25,0.865
1014,1014,A64,S6,0.09,0.78,0.0,0.33,0.39,0.32,0.39,0.88,0.89,0.17,0.87
1015,1015,A64,S7,0.27,0.61,0.0,0.86,0.98,0.86,1.0,0.87,0.78,0.5,0.922
1016,1016,A64,S8,0.45,0.97,0.0,0.62,0.58,0.62,0.54,1.0,0.56,0.67,0.922
1017,1017,A64,S9,0.64,0.88,0.0,0.62,0.77,0.65,0.75,0.89,0.67,0.42,0.913
1018,1018,A64,S10,0.82,0.93,1.0,0.5,0.5,0.43,0.46,1.0,0.67,0.42,0.892
1019,1019,A64,S11,1.0,0.62,0.0,0.29,0.23,0.26,0.17,0.79,1.0,0.08,0.857
1020,1020,A65,S1,0.95,0.51,0.0,0.03,0.02,0.02,0.02,0.4,1.0,0.0,0.782
1021,1021,A65,S2,0.89,0.77,0.0,0.14,0.23,0.21,0.28,0.96,0.56,0.6,0.89
1022,1022,A65,S3,0.84,0.84,0.0,0.65,0.73,0.62,0.54,0.83,0.78,1.0,0.924
1023,1023,A65,S4,0.78,0.51,0.5,1.0,1.0,1.0,1.0,0.71,0.92,0.8,0.97
1024,1024,A65,S5,0.73,0.7,0.0,0.22,0.22,0.21,0.15,0.9,0.56,0.2,1.0
1025,1025,A65,S6,0.68,0.7,0.0,0.16,0.2,0.19,0.18,0.91,0.5,0.0,0.876
1026,1026,A65,S7,0.62,0.67,0.0,0.16,0.2,0.21,0.14,0.91,0.58,0.0,0.849
1027,1027,A65,S8,0.57,0.81,0.0,0.68,0.69,0.8,0.6,0.77,0.75,0.6,0.897
1028,1028,A65,S9,0.51,0.88,0.0,0.32,0.44,0.41,0.36,0.94,0.5,0.2,0.874
1029,1029,A65,S10,0.46,0.67,0.0,0.19,0.16,0.2,0.14,0.88,0.61,0.2,0.881
1030,1030,A65,S11,0.41,0.74,0.0,0.3,0.32,0.21,0.2,0.96,0.5,0.4,0.861
1031,1031,A65,S12,0.35,0.79,0.5,0.78,0.79,0.57,0.59,0.8,0.75,0.6,0.928
1032,1032,A65,S13,0.3,0.74,0.0,0.24,0.29,0.21,0.21,0.98,0.47,0.6,0.878
1033,1033,A65,S14,0.24,0.93,1.0,0.51,0.61,0.49,0.53,0.88,0.78,0.0,0.908
1034,1034,A65,S15,0.19,0.98,1.0,0.43,0.49,0.32,0.45,0.96,0.56,0.0,0.892
1035,1035,A65,S16,0.14,0.67,0.0,0.19,0.24,0.12,0.14,0.91,0.58,0.0,0.87
1036,1036,A65,S17,0.08,0.91,0.0,0.35,0.45,0.41,0.35,0.89,0.69,0.6,0.904
1037,1037,A65,S18,0.03,0.74,0.0,0.19,0.24,0.26,0.23,0.94,0.58,0.4,0.887
1038,1038,A65,S19,0.03,0.63,0.5,0.08,0.09,0.07,0.14,0.83,0.67,0.0,0.833
1039,1039,A65,S20,0.08,0.77,0.0,0.27,0.27,0.25,0.22,0.97,0.5,0.4,0.882
